collocation,mle_rank,pmi_rank,tscore_rank,dice_rank,ll_rank,rank_av,rank_nor,rank_opt
phương_diện y_khoa,1122.0,2622.0,981.0,2296.0,1135.0,1631.2,1383.2525539724345,1631.2
điện sinh_lý,3028.0,155.0,3028.0,701.0,1444.0,1671.2,1417.1724302346327,1671.2
the day,1535.0,3114.0,1443.0,2792.0,1505.0,2077.8,1761.9679724398754,2077.8
loạn_thị giác,2475.0,3245.0,2443.0,3254.0,0.0,2854.25,2854.25,2854.25
môi thâm,2906.0,2891.0,2898.0,3127.0,2085.0,2781.4,2358.618595891938,2781.4
vị tràng,941.0,103.0,915.0,200.0,92.0,450.2,381.7682073310385,450.2
hạch rốn,1265.0,247.0,1234.0,482.0,285.0,702.6,595.8026265455079,702.6
tim_mạch mạn_tính,2178.0,481.0,2168.0,992.0,1046.0,1373.0,1164.2997526999466,1373.0
chu_kỳ ít_nhất,2393.0,540.0,2384.0,1329.0,1311.0,1591.4,1349.5022770915477,1591.4
đối_tác tình_dục,1832.0,1619.0,1805.0,1019.0,1361.0,1527.2,1295.0608756907197,1527.2
bên trụ,941.0,1983.0,886.0,527.0,0.0,1084.25,1084.25,1084.25
phức_hợp sắt,1433.0,1592.0,1404.0,413.0,0.0,1210.5,1210.5,1210.5
chất_béo dư_thừa,387.0,1440.0,104.0,1467.0,543.0,788.2,668.3911617466117,788.2
gói tương_đương,719.0,977.0,652.0,352.0,525.0,645.0,546.9580047279428,645.0
bề_mặt ẩm,2178.0,2704.0,2132.0,2651.0,1689.0,2270.8,1925.6313754049809,2270.8
nôn_mửa liên_tục,1658.0,1763.0,1614.0,1127.0,1282.0,1488.8,1262.4977944790096,1488.8
thịt gà,2543.0,2047.0,2528.0,2242.0,1799.0,2231.8,1892.5594960493377,2231.8
hành_vi kỳ_quặc,3095.0,2703.0,3093.0,3062.0,0.0,2988.25,2988.25,2988.25
bậc nhất,941.0,1027.0,807.0,1325.0,635.0,947.0,803.0530705075378,947.0
sắt nguyên_tố,3379.0,2183.0,3378.0,3263.0,2314.0,2903.4,2462.074218491642,2903.4
cây bạch,2007.0,450.0,1998.0,869.0,911.0,1247.0,1057.4521424740228,1247.0
ánh mặt_trời,1433.0,672.0,1362.0,1081.0,697.0,1049.0,889.5487549761426,1049.0
